theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
0.192934,4.699180,1.041738,5.699180,2.041738,-11.3500,-11.0400
0.240110,3.684756,0.778279,4.684756,1.778279,-11.1600,-10.9100
0.251426,3.498251,1.041738,4.498251,2.041738,-11.1200,-10.8100
0.242890,3.637313,1.691535,4.637313,2.691535,-11.1500,-10.7200
0.237361,3.732753,1.818383,4.732753,2.818383,-11.1700,-10.7200
0.234644,3.781312,1.691535,4.781312,2.691535,-11.1800,-10.7500
3.718856,0.024865,-0.205672,1.024865,0.794328,-8.7800,-8.8800
3.238988,0.040803,-0.087989,1.040803,0.912011,-8.9000,-8.9400
2.821041,0.063314,0.023293,1.063314,1.023293,-9.0200,-9.0100
2.514255,0.088048,0.148154,1.088048,1.148154,-9.1200,-9.0600
2.266780,0.115630,0.230269,1.115630,1.230269,-9.2100,-9.1200
2.067328,0.144850,0.318257,1.144850,1.318257,-9.2900,-9.1700
1.907258,0.174380,0.380384,1.174380,1.380384,-9.3600,-9.2200
1.779956,0.202856,0.380384,1.202856,1.380384,-9.4200,-9.2800
1.680387,0.228957,0.380384,1.228957,1.380384,-9.4700,-9.3300
1.568229,0.263287,0.380384,1.263287,1.380384,-9.5300,-9.3900
1.463556,0.301087,0.412538,1.301087,1.412538,-9.5900,-9.4400
0.842189,0.756749,0.862087,1.756749,1.862087,-10.0700,-9.8000
0.832548,0.769722,0.905461,1.769722,1.905461,-10.0800,-9.8000
0.813597,0.796173,0.949845,1.796173,1.949845,-10.1000,-9.8100
0.795077,0.823308,1.041738,1.823308,2.041738,-10.1200,-9.8100
0.776979,0.851142,1.089296,1.851142,2.089296,-10.1400,-9.8200
0.768085,0.865325,1.137962,1.865325,2.137962,-10.1500,-9.8200
0.750601,0.894236,1.238721,1.894236,2.238721,-10.1700,-9.8200
0.742009,0.908966,1.238721,1.908966,2.238721,-10.1800,-9.8300
0.733516,0.923883,1.238721,1.923883,2.238721,-10.1900,-9.8400
0.725119,0.938987,1.238721,1.938987,2.238721,-10.2000,-9.8500
0.716819,0.954282,1.238721,1.954282,2.238721,-10.2100,-9.8600
0.708613,0.969769,1.290868,1.969769,2.290868,-10.2200,-9.8600
0.708613,0.969769,1.238721,1.969769,2.238721,-10.2200,-9.8700
0.700502,0.985451,1.238721,1.985451,2.238721,-10.2300,-9.8800
0.692483,1.001329,1.238721,2.001329,2.238721,-10.2400,-9.8900
0.661317,1.066847,1.290868,2.066847,2.290868,-10.2800,-9.9200
0.646263,1.100841,1.290868,2.100841,2.290868,-10.3000,-9.9400
0.631552,1.135683,1.344229,2.135683,2.344229,-10.3200,-9.9500
0.617176,1.171390,1.398833,2.171390,2.398833,-10.3400,-9.9600
0.556429,1.343308,1.511886,2.343308,2.511886,-10.4300,-10.0300
0.479081,1.627099,1.754229,2.627099,2.754229,-10.5600,-10.1200
0.422094,1.904210,2.019952,2.904210,3.019952,-10.6700,-10.1900
